Task ID,Title,Description,Milestone,Size,Risk,Labels,Quick Win,Definition of Done,Rollback Criteria
V2-000,Create v2 branch from origin/master,Create a new branch named v2 from origin/master so refactor work starts from production code.,M0,XS,Low,"v2,milestone:m0,quick-win",Yes,`v2` exists on remote and is protected.,"If branch base is wrong, recreate from origin/master."
V2-001,Add project labels,"Create and standardize labels (`v2`, milestone, risk, size, quick-win, rollback).",M0,XS,Low,"v2,milestone:m0,quick-win",Yes,Labels exist and are documented.,"If naming conflicts appear, rename labels and update docs."
V2-002,Create project fields,"Add project fields: Milestone, Size, Risk, Owner, Status, Rollback Needed.",M0,XS,Low,"v2,milestone:m0,quick-win",Yes,All fields are available in the board.,"If fields are incorrect, recreate with correct types."
V2-003,Add v2 issue template,"Create issue template with goal, scope, DoD, rollback sections.",M0,XS,Low,"v2,milestone:m0,quick-win",Yes,Template is used for all new v2 issues.,"If template is noisy, simplify required sections."
V2-010,Write v1 freeze policy,Document that v1 only accepts critical fixes during v2.,M0,S,Low,"v2,milestone:m0",No,Freeze policy is published in docs.,"If urgent needs arise, apply exception process."
V2-011,Add endpoint smoke script,Add script to hit manifest/catalog/meta/stream and report pass/fail.,M0,S,Low,"v2,milestone:m0,quick-win",Yes,Script runs locally and in CI.,Disable in CI if unstable and fix assumptions.
V2-012,Capture golden responses,Store baseline JSON fixtures for core endpoints.,M0,S,Medium,"v2,milestone:m0",No,Golden fixtures are committed and versioned.,Regenerate fixtures from production baseline if invalid.
V2-013,Add same output CI job,Compare responses against fixtures in CI and show diff on failure.,M0,M,Medium,"v2,milestone:m0",No,CI fails on unexpected response changes.,Temporarily narrow checks if false positives block progress.
V2-014,Add latency/error baseline,Record basic latency/error metrics before refactor changes.,M0,S,Low,"v2,milestone:m0,quick-win",Yes,Baseline report exists in docs/artifacts.,Re-capture baseline with fixed sampling if noisy.
V2-015,Write rollback runbook,Document how to disable v2 paths and recover quickly.,M0,S,Low,"v2,milestone:m0",No,Rollback runbook is tested and documented.,Update runbook before milestone close if drill fails.
V2-016,Create server.js extraction inventory,Map large single file sections in `origin/master:server.js` to target layers.,M0,S,Low,"v2,milestone:m0,quick-win",Yes,Inventory doc exists with extraction map.,Rebuild inventory if master shifts significantly.
V2-017,Create services extraction inventory,Map all large service files to target layer boundaries and owners.,M0,S,Low,"v2,milestone:m0,quick-win",Yes,`docs/v2-services-inventory.md` lists each service and target.,Refresh inventory if service ownership/scope changes.
V2-018,Publish explicit out-of-scope list,"Document deferred work (admin UI rewrite, vendor internals) with rationale.",M0,XS,Low,"v2,milestone:m0,quick-win",Yes,Out-of-scope list is visible in proposal/docs.,"If scope changes, update list before starting next milestone."
